1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
848	-0.519726	105.093793	0.362335	0.030427	2.2
849	-0.496058	106.093593	0.359485	0.034826	2.3
850	-0.505327	105.339828	0.361630	0.033198	2.2
851	-0.468642	106.335891	0.358801	0.018979	2.5
852	-0.559684	107.321675	0.356044	0.030656	2.4
853	-0.524362	106.638112	0.357951	0.028354	2.3
854	-0.437643	107.634554	0.355178	0.007562	2.1
855	-0.458558	107.997605	0.354179	0.020548	2.4
856	-0.433275	107.772275	0.354799	0.028368	2.3
857	-0.512111	108.748173	0.352130	0.040158	2.4
858	-0.473348	108.084170	0.353941	0.045281	2.2
859	-0.474145	107.323418	0.356040	0.046376	2.2
860	-0.457534	106.618081	0.358007	0.025424	2.2
861	-0.456086	107.585439	0.355314	0.017171	2.2
862	-0.476439	107.958469	0.354286	0.020678	2.2
863	-0.426543	108.605397	0.352518	0.037236	2.2
864	-0.461219	107.854304	0.354573	0.012024	1.8
865	-0.454310	108.217745	0.353575	0.034110	1.8
866	-0.469452	109.122304	0.351118	0.027014	1.6
867	-0.489729	110.115104	0.348459	0.040427	1.6
868	-0.462757	111.114257	0.345824	0.022792	1.8
869	-0.448379	110.356394	0.347819	0.060959	1.7
870	-0.424969	111.352847	0.345200	0.020838	1.5
871	-0.440515	112.351068	0.342616	0.022914	6.4
872	-0.439308	113.303890	0.340185	0.045039	2.3
873	-0.439861	112.572344	0.342049	0.033928	1.9
874	-0.489194	113.557739	0.339544	0.060249	2.1
875	-0.472404	112.796364	0.341476	0.041849	1.8
876	-0.471625	113.796364	0.338943	0.032471	1.8
877	-0.536275	113.037271	0.340862	0.030697	1.8
878	-0.460569	112.278255	0.342803	0.022460	2.3
879	-0.512707	111.532878	0.344731	0.014079	2.4
880	-0.471757	112.263576	0.342841	0.059326	1.7
881	-0.473367	113.007983	0.340937	0.031978	1.9
882	-0.528119	114.006372	0.338415	0.023629	2.0
883	-0.499575	113.530052	0.339613	0.039742	1.9
884	-0.495056	114.525923	0.337118	0.027723	1.9
885	-0.414984	113.876835	0.338740	0.019208	1.8
886	-0.524912	114.797691	0.336443	0.015537	1.6
887	-0.482861	115.272143	0.335272	0.041131	2.1
888	-0.432727	115.900273	0.333734	0.034724	2.1
889	-0.397127	116.884772	0.331351	0.036929	1.8
890	-0.482939	117.882702	0.328970	0.045552	1.9
891	-0.462379	117.122287	0.330781	0.026524	2.0
892	-0.445104	116.361053	0.332614	0.010664	2.1
893	-0.456912	115.918548	0.333689	0.023368	1.9
894	-0.502866	115.342584	0.335099	0.008586	1.8
895	-0.536868	115.829913	0.333905	0.031749	1.8
896	-0.467964	115.201726	0.335445	0.038813	1.7
897	-0.541280	116.201236	0.333002	0.023952	1.7
898	-0.489081	115.510457	0.334687	0.008909	1.6
899	-0.488959	115.267207	0.335284	0.027746	1.6
900	-0.457871	115.966970	0.333571	0.041651	1.9
901	-0.527266	115.205755	0.335435	0.037602	1.9
902	-0.476447	115.943242	0.333629	0.012579	1.9
903	-0.475511	116.567512	0.332115	0.031276	1.9
904	-0.436440	116.070996	0.333318	0.018189	1.9
905	-0.458147	115.336169	0.335114	0.035699	2.0
906	-0.460764	116.187066	0.333036	0.023985	1.9
907	-0.501652	117.177905	0.330648	0.020281	1.7
908	-0.455473	117.482612	0.329920	0.030640	2.1
909	-0.485471	118.112870	0.328426	0.034784	2.0
910	-0.521111	117.353148	0.330229	0.024986	1.7
911	-0.457363	116.595963	0.332046	0.019301	1.9
912	-0.486714	116.633106	0.331957	0.046310	1.8
913	-0.506472	115.940620	0.333635	0.017776	1.7
914	-0.499188	115.286068	0.335238	0.027345	1.8
915	-0.443304	116.105535	0.333234	0.014699	2.1
916	-0.411548	115.886402	0.333767	0.037187	2.2
